City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,13.92,68,100,4.63,AU,1675783416
1,huarmey,-10.0681,-78.1522,24.26,75,49,3.37,PE,1675783509
2,novobiryusinskiy,56.9578,97.7076,-19.08,100,100,1.25,RU,1675783510
3,mahebourg,-20.4081,57.7,26.81,78,60,6.28,MU,1675783510
4,talara,-4.5772,-81.2719,29.42,54,40,7.2,PE,1675783511
5,kodiak,57.79,-152.4072,-1.27,74,0,5.14,US,1675783511
6,vaini,-21.2,-175.2,26.51,78,42,7.43,TO,1675783512
7,khatanga,71.9667,102.5,-43.33,100,73,0.62,RU,1675783513
8,carstairs,51.5668,-114.102,1.12,57,100,2.68,CA,1675783513
9,bethel,41.3712,-73.414,1.42,46,0,2.06,US,1675783513
10,sao joao da barra,-21.6403,-41.0511,31.05,78,97,2.9,BR,1675783514
11,hermanus,-34.4187,19.2345,21.0,75,100,5.17,ZA,1675783514
12,khani,41.9563,42.9566,-1.24,98,100,1.94,GE,1675783515
13,hualmay,-11.0964,-77.6139,24.67,71,12,3.4,PE,1675783516
14,dikson,73.5069,80.5464,-29.75,96,69,5.62,RU,1675783517
15,nanortalik,60.1432,-45.2371,-15.44,68,8,9.89,GL,1675783517
16,uvalde,29.3669,-99.767,18.55,100,100,5.14,US,1675783518
17,chuy,-33.6971,-53.4616,28.97,41,3,2.38,UY,1675783518
18,airai,-8.9266,125.4092,16.29,93,65,0.89,TL,1675783519
19,saint-philippe,-21.3585,55.7679,27.77,83,57,5.81,RE,1675783521
20,ponta do sol,32.6667,-17.1,18.73,71,50,3.03,PT,1675783521
21,mar del plata,-38.0023,-57.5575,26.16,89,10,2.68,AR,1675783522
22,ribeira grande,38.5167,-28.7,14.32,58,75,8.94,PT,1675783523
23,bolivar,37.6145,-93.4105,6.74,87,100,3.71,US,1675783524
24,chokurdakh,70.6333,147.9167,-41.86,100,98,1.79,RU,1675783525
